id,user_id,img_path,garment_type,garment_category,formality,weather
1,1,http://dummyimage.com/100x100.png/cc0000/ffffff,1,1,1,1
2,2,http://dummyimage.com/100x100.png/dddddd/000000,2,2,2,2
3,3,http://dummyimage.com/100x100.png/cc0000/ffffff,3,3,3,3
4,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,4,4,1,1
5,5,http://dummyimage.com/100x100.png/ff4444/ffffff,5,1,2,2
6,1,http://dummyimage.com/100x100.png/dddddd/000000,6,2,3,3
7,2,http://dummyimage.com/100x100.png/ff4444/ffffff,7,3,1,1
8,3,http://dummyimage.com/100x100.png/ff4444/ffffff,8,4,2,2
9,4,http://dummyimage.com/100x100.png/cc0000/ffffff,9,1,3,3
10,5,http://dummyimage.com/100x100.png/dddddd/000000,10,2,1,1
11,1,http://dummyimage.com/100x100.png/cc0000/ffffff,11,3,2,2
12,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,12,4,3,3
13,3,http://dummyimage.com/100x100.png/dddddd/000000,13,1,1,1
14,4,http://dummyimage.com/100x100.png/cc0000/ffffff,14,2,2,2
15,5,http://dummyimage.com/100x100.png/dddddd/000000,15,3,3,3
16,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,16,4,1,1
17,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,17,1,2,2
18,3,http://dummyimage.com/100x100.png/ff4444/ffffff,18,2,3,3
19,4,http://dummyimage.com/100x100.png/5fa2dd/ffffff,19,3,1,1
20,5,http://dummyimage.com/100x100.png/dddddd/000000,20,4,2,2
21,1,http://dummyimage.com/100x100.png/dddddd/000000,21,1,3,3
22,2,http://dummyimage.com/100x100.png/cc0000/ffffff,22,2,1,1
23,3,http://dummyimage.com/100x100.png/dddddd/000000,23,3,2,2
24,4,http://dummyimage.com/100x100.png/cc0000/ffffff,24,4,3,3
25,5,http://dummyimage.com/100x100.png/cc0000/ffffff,25,1,1,1
26,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,26,2,2,2
27,2,http://dummyimage.com/100x100.png/dddddd/000000,27,3,3,3
28,3,http://dummyimage.com/100x100.png/cc0000/ffffff,28,4,1,1
29,4,http://dummyimage.com/100x100.png/dddddd/000000,29,1,2,2
30,5,http://dummyimage.com/100x100.png/dddddd/000000,30,2,3,3
31,1,http://dummyimage.com/100x100.png/ff4444/ffffff,31,3,1,1
32,2,http://dummyimage.com/100x100.png/cc0000/ffffff,32,4,2,2
33,3,http://dummyimage.com/100x100.png/ff4444/ffffff,33,1,3,3
34,4,http://dummyimage.com/100x100.png/cc0000/ffffff,34,2,1,1
35,5,http://dummyimage.com/100x100.png/dddddd/000000,35,3,2,2
36,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,36,4,3,3
37,2,http://dummyimage.com/100x100.png/5fa2dd/ffffff,37,1,1,1
38,3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,38,2,2,2
39,4,http://dummyimage.com/100x100.png/ff4444/ffffff,39,3,3,3
40,5,http://dummyimage.com/100x100.png/dddddd/000000,40,4,1,1
41,1,http://dummyimage.com/100x100.png/5fa2dd/ffffff,41,1,2,2
42,2,http://dummyimage.com/100x100.png/dddddd/000000,42,2,3,3
43,3,http://dummyimage.com/100x100.png/ff4444/ffffff,43,3,1,1
44,4,http://dummyimage.com/100x100.png/dddddd/000000,44,4,2,2
45,5,http://dummyimage.com/100x100.png/ff4444/ffffff,45,1,3,3
46,1,http://dummyimage.com/100x100.png/cc0000/ffffff,46,2,1,1
47,2,http://dummyimage.com/100x100.png/cc0000/ffffff,47,3,2,2
48,3,http://dummyimage.com/100x100.png/dddddd/000000,48,4,3,3
49,4,http://dummyimage.com/100x100.png/dddddd/000000,49,1,1,1
